sale_id,customer_id,product_id,quantity,sale_date,payment_method,discount,returned
SALE50000,CUST23318,PROD1537,7,2024-07-05,Credit Card,0.17,True
SALE50001,CUST14908,PROD1899,4,2024-08-25,Credit Card,0.28,False
SALE50002,CUST12349,PROD1045,7,2025-07-02,PayPal,0.18,True
SALE50003,CUSTOMER19339,PROD1476,8,2025-01-07,PayPal,0.25,True
SALE50004,CUSTOMER23405,PROD1588,3,2025-08-07,Credit Card,0.21,False
SALE50005,CUST13110,PROD1567,5,2024-08-23,,0.19,True
SALE50006,CUST17614,PROD1780,7,2023-12-31,PayPal,0.05,False
SALE50007,cust17097,PROD1070,2,2024-04-17,Credit Card,0.17,True
SALE50008,CUST21504,PROD1046,7,2025-06-17,PayPal,0.11,False
SALE50009,CUSTOMER18540,PROD1857,9,2024-01-03,Cash,0.04,False
SALE50010,CUSTOMER24346,PROD1364,2,2023-10-17,PayPal,0.21,False
SALE50011,cust16197,PROD1124,7,2024-09-26,Cash,0.08,True
SALE50012,CUSTOMER18101,PROD1709,7,2024-09-13,PayPal,0.26,True
SALE50013,cust25469,PROD1236,2,2023-12-29,PayPal,0.07,False
SALE50014,CUST11927,PROD1111,3,2025-01-10,PayPal,0.23,False
SALE50015,CUST15530,PROD1314,9,2025-06-11,Debit Card,0.28,False
SALE50016,CUSTOMER20538,PROD1447,5,2025-01-31,Cash,0.03,True
SALE50017,cust20553,PROD1596,5,2023-09-16,Cash,0.0,False
SALE50018,CUST21374,PROD1832,5,2024-09-29,Cash,0.27,True
SALE50019,CUST22803,PROD1161,2,2024-07-12,Cash,0.01,True
SALE50020,cust16258,PROD1595,1,2025-01-12,PayPal,0.03,False
SALE50021,CUST19528,,7,2024-11-20,Credit Card,0.25,True
SALE50022,cust28002,PROD1639,8,2023-12-09,PayPal,0.0,False
SALE50023,CUST13921,PROD1224,1,2024-01-16,PayPal,0.27,False
SALE50024,cust18688,PROD1208,7,2024-08-02,Cash,0.08,False
SALE50025,CUST13754,PROD1642,1,2023-08-20,Credit Card,0.04,False
SALE50026,CUSTOMER21583,PROD1512,3,2024-07-12,Credit Card,0.28,False
SALE50027,CUST25183,PROD1385,7,2024-02-09,Credit Card,0.27,True
SALE50028,CUSTOMER24890,PROD1760,5,2025-01-26,Cash,0.23,True
SALE50029,CUST13629,PROD1690,2,2025-02-02,PayPal,0.27,True
SALE50030,CUST28294,,1,2025-01-07,PayPal,0.17,False
SALE50031,cust11851,PROD1271,6,9999-99-99,Credit Card,0.24,False
SALE50032,,PROD1366,1,2024-01-02,Cash,0.21,False
SALE50033,,PROD1516,3,2024-03-02,PayPal,0.16,True
SALE50034,CUST28499,PROD1497,5,2024-08-29,Debit Card,0.05,True
SALE50035,CUST14424,PROD1173,4,2024-04-03,Credit Card,0.11,False
SALE50036,,PROD1229,8,2025-04-01,Credit Card,0.14,True
SALE50037,CUSTOMER16176,PROD1393,1,2023-10-29,PayPal,0.22,False
SALE50038,CUST24050,PROD1805,4,2025-07-07,Credit Card,0.11,True
SALE50039,,PROD1254,7,2025-03-31,Credit Card,0.22,True
